indice_tiempo,emae_original,emae_desestacionalizada,emae_tendencia_ciclo,emae_original_via,emae_desestacionalizada_vm,emae_tendencia_ciclo_vm
2008-01-01,126.22689251081431,135.25737492648898,133.49006424601012,0.10047907894835831,0.00766845307699441,0.004704360489655244
2008-02-01,122.8249045091645,133.61428941730563,133.9826442347295,0.08942137446255075,-0.012147844138453507,0.0036900123728429435
2008-03-01,132.33412728743554,133.0376653466617,134.30661965770685,0.023602235752291135,-0.004315586851964639,0.002418040223252831
2008-04-01,145.28049855207212,135.9064731467274,134.42804751063406,0.08854445098099134,0.02156387661035936,0.000904109218418938
2008-05-01,154.15616391286648,134.84871428851955,134.31694252371426,0.044362481240256525,-0.007782991006365592,-0.0008265015298314893
2008-06-01,140.50348421669764,133.14962339336995,133.95434237509662,0.03219560797138683,-0.012599978458187309,-0.00269958608202856
2008-07-01,136.63868805371584,135.32678357825003,133.33876157312883,0.07262197929018327,0.016351230513420204,-0.004595452383649104
2008-08-01,131.34092143552698,135.62960071860368,132.48732648965014,0.03748714579465997,0.00223767337364194,-0.006385503160772288
2008-09-01,132.18593848988462,136.03345120471414,131.43508998172473,0.07024081170157487,0.00297759842962563,-0.007942167268411283
2008-10-01,130.39517884255912,132.51142468580463,130.2357653478285,0.015417126363592786,-0.025890885570559307,-0.009124843556336373
2008-11-01,125.52756329262156,130.34086293181903,128.9583389295748,-0.032431674277091954,-0.016380185777431534,-0.009808568443867927
2008-12-01,123.46600579407662,125.22410342464515,127.67941750202087,-0.04214127138728699,-0.03925675641606304,-0.009917322432730628
2009-01-01,116.75841920206521,124.26401204898428,126.48584910269007,-0.07501153771917429,-0.007666985423765596,-0.009348166076273827
2009-02-01,114.85886148592792,126.28691001864266,125.4618267883376,-0.06485690385895808,0.016279033135200505,-0.008095943709253105
2009-03-01,126.16560261026108,123.50257482552777,124.67820765406792,-0.046613256939958915,-0.022047694354892827,-0.006245876967754498
2009-04-01,127.9905588745035,121.64431131673531,124.18699761229756,-0.11901074025686569,-0.01504635438910995,-0.003939822772663462
2009-05-01,133.03567047814315,121.03268434609039,124.0166280024637,-0.13700712899590087,-0.00502799484845923,-0.0013718796098585529
2009-06-01,129.31265804805898,122.55818630125655,124.17165407089547,-0.07964803315040299,0.01260404958716805,0.001250042602582937
2009-07-01,127.3630583750141,124.7523756239311,124.63485645732437,-0.06788435845530998,0.017903245706337997,0.0037303391816334397
2009-08-01,124.00328620894652,126.78364782234908,125.37157970554274,-0.055867091127287265,0.016282433005855523,0.005911053048555743
2009-09-01,126.18512812472765,128.27215867931656,126.33668468457985,-0.04539673760848757,0.011740558680352961,0.007697956596733065
2009-10-01,127.07986188269525,129.2407670913899,127.47913447463843,-0.02542514983523148,0.0075511975634157125,0.009042898291267391
2009-11-01,127.09219178029132,129.69096148734093,128.74642657899514,0.01246442173040819,0.0034833776221144318,0.009941172801175782
2009-12-01,126.28656380555832,128.10327147032194,130.0884777217905,0.02284481459767946,-0.012242102293103584,0.010423987511388476
2010-01-01,121.50567852923163,131.6266430376359,131.4604328114948,0.04065881809302922,0.02750414979160155,0.010546322885247435
2010-02-01,119.82280209203972,133.26667051397587,132.82447423760743,0.04321774168656518,0.012459692342613665,0.010376060666623488
2010-03-01,136.89550162046118,134.07080210443903,134.15210694319288,0.08504615194797509,0.0060340037562416175,0.009995392138428087
2010-04-01,145.77413149301782,136.8178458975342,135.42152072257403,0.1389444094540704,0.020489500696469775,0.009462496030112106
2010-05-01,158.1106315304388,139.01394010064914,136.6162004464607,0.18848299078114777,0.016051226276136817,0.008821934043512272
2010-06-01,149.86155200805445,140.48801115132002,137.72596648262234,0.15890860392304745,0.010603764267120397,0.008123238917016521
2010-07-01,139.50568662872732,139.41000175634483,138.74697839492833,0.09533869874543882,-0.00767331949638077,0.00741335812252089
2010-08-01,137.24598068715568,140.079824684137,139.68185101036678,0.10679309301444732,0.004804697793224761,0.00673796738677396
2010-09-01,136.69642672162283,139.4317223144521,140.54037291539032,0.08330061357551813,-0.004626664626018169,0.006146266668243214
2010-10-01,135.13884450692316,140.1042726866206,141.33416282306987,0.06341667755090086,0.004823510468096686,0.005648127233570506
2010-11-01,139.59882328372223,142.35686426328382,142.07462634837154,0.0984059785911282,0.01607796488620835,0.005239097968327826
2010-12-01,138.47764951271685,141.96711027519237,142.77482907135948,0.09653509716147625,-0.00273786578615983,0.004928415023742758
2011-01-01,133.0769197185519,145.71547662173344,143.447961163791,0.0952321021485139,0.026403061520905453,0.004714641206785046
2011-02-01,129.50988684262188,144.0548104396727,144.0975739227208,0.08084508608921695,-0.011396635556919676,0.004528560417725629
2011-03-01,147.00183909502377,144.8343957550886,144.71769043579883,0.07382519772331236,0.00541172705747556,0.004303448671596471
2011-04-01,151.03582303961804,144.79260973405482,145.29131931984776,0.03609482349652865,-0.0002885089609820568,0.003963778597637457
2011-05-01,166.17834208101743,147.17828483419896,145.79190481097277,0.05102573098650524,0.01647649769229247,0.0034453915999139895
2011-06-01,156.69365851225533,146.75332971108386,146.1909025524364,0.04558945515147002,-0.0028873493368524804,0.0027367619757829686
2011-07-01,146.37808828046835,147.08603638422989,146.46148917735889,0.04926251981419824,0.0022671149867674956,0.001850912883073761
